7.517,55.81,53.53,-36.42
7.533,54.99,52.06,-37.85
7.55,54.23,50.64,-39.23
7.567,53.59,49.27,-40.54
7.583,52.91,47.9,-41.85
7.6,52.14,46.52,-43.16
7.617,51.56,45.27,-44.34
7.634,51.28,44.26,-45.25
7.651,51.1,43.38,-46.03
7.667,50.85,42.58,-46.73
7.684,50.51,41.86,-47.38
7.701,50.02,41.12,-48.07
7.717,49.38,40.39,-48.78
7.734,48.83,39.78,-49.39
7.751,48.38,39.21,-49.95
7.767,48,38.55,-50.56
7.784,47.64,37.76,-51.27
7.801,47.21,36.95,-52.01
7.817,46.67,36.17,-52.74
7.834,46.03,35.5,-53.39
7.851,45.36,35.02,-53.91
7.867,44.75,34.84,-54.17
7.884,44.42,35.21,-53.93
7.901,44.43,36.17,-53.13
7.917,44.57,37.55,-51.95
7.934,44.78,39.14,-50.54
7.95,45.27,40.87,-48.94
7.967,46.06,42.73,-47.17
7.984,47.03,44.68,-45.27
8,48.13,46.72,-43.27
8.017,49.19,48.77,-41.22
8.034,50.19,50.82,-39.18
8.05,51.13,52.72,-37.26
8.067,52.15,54.55,-35.4
8.083,53.31,56.41,-33.5
8.101,54.64,58.41,-31.45
8.118,56.12,60.55,-29.25
8.134,57.97,62.73,-27.03
8.152,59.93,64.73,-25.01
8.167,61.56,66.42,-23.3
8.183,62.8,67.92,-21.75
8.201,63.79,69.46,-20.1
8.217,64.89,71.18,-18.21
8.234,66.13,72.94,-16.26
8.251,67.23,74.46,-14.53
8.267,67.92,75.65,-13.05
8.283,68.32,76.67,-11.6
8.3,68.78,77.69,-10
8.317,69.58,78.78,-8.17
8.334,70.71,79.83,-6.16
8.351,72.04,80.57,-3.97
8.367,73.38,80.72,-1.64
8.384,74.52,80.37,0.41
8.401,75.67,79.79,2.23
8.417,76.95,79,4.05
8.434,78.15,77.94,5.94
8.451,79.02,76.58,7.83
8.468,79.58,74.94,9.72
8.484,80.03,73.05,11.75
8.5,80.43,71.16,13.79
8.517,80.78,69.42,15.63
8.533,80.93,67.78,17.27
8.55,80.79,66.12,18.82
8.567,80.71,64.49,20.35
8.584,80.96,62.97,21.82
