time,yaw,pitch,roll
13:24:48,InéInitializing I2C d
13:24:48,vic
13:24:48,s...
T
13:24:48,sting d
13:24:48,vic
13:24:48, conn
13:24:48,ctions...
MPU6050 conn
13:24:48,ction succ
13:24:48,ssful

S
13:24:48,nd any charact
13:24:49,r to b
13:24:49,gin DMP programming and d
13:24:49,mo: 
Initializing DMP...
Enabling DMP...
Enabling int
13:24:49,rrupt d
13:24:52,0.04,-3.75,-1.57
13:24:52,0.04,-3.75,-1.58
13:24:52,0.04,-3.76,-1.58
13:24:52,0.04,-3.76,-1.58
13:24:52,0.04,-3.76,-1.58
13:24:52,0.04,-3.76,-1.58
13:24:52,0.04,-3.76,-1.59
13:24:52,0.04,-3.76,-1.59
13:24:52,0.03,-3.76,-1.60
13:24:52,0.03,-3.76,-1.60
13:24:52,0.03,-3.76,-1.60
13:24:52,0.03,-3.77,-1.60
13:24:52,0.03,-3.77,-1.60
13:24:52,0.03,-3.77,-1.60
13:24:52,0.03,-3.78,-1.61
13:24:52,0.03,-3.78,-1.61
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.62
13:24:52,0.03,-3.78,-1.63
13:24:52,0.03,-3.78,-1.63
13:24:52,0.03,-3.78,-1.64
13:24:52,0.02,-3.78,-1.64
13:24:52,0.02,-3.78,-1.64
13:24:52,0.02,-3.78,-1.64
13:24:52,0.02,-3.79,-1.64
13:24:52,0.02,-3.79,-1.65
13:24:52,0.02,-3.79,-1.65
13:24:52,0.02,-3.79,-1.65
13:24:52,0.02,-3.79,-1.65
13:24:52,0.02,-3.79,-1.65
13:24:53,0.02,-3.79,-1.65
13:24:53,0.02,-3.79,-1.65
13:24:53,0.02,-3.79,-1.66
13:24:53,0.02,-3.79,-1.66
13:24:53,0.02,-3.79,-1.67
13:24:53,0.02,-3.80,-1.67
13:24:53,0.02,-3.80,-1.67
13:24:53,0.02,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.67
13:24:53,0.01,-3.80,-1.68
13:24:53,0.01,-3.80,-1.68
13:24:53,0.01,-3.80,-1.68
13:24:53,0.01,-3.80,-1.69
13:24:53,0.01,-3.80,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.82,-1.69
13:24:53,0.01,-3.81,-1.69
13:24:53,0.01,-3.81,-1.70
13:24:53,0.01,-3.81,-1.70
13:24:53,0.01,-3.82,-1.70
13:24:53,0.01,-3.82,-1.70
13:24:53,0.01,-3.82,-1.71
13:24:53,0.01,-3.82,-1.71
13:24:53,0.01,-3.82,-1.71
13:24:53,0.01,-3.82,-1.71
13:24:53,0.01,-3.82,-1.71
13:24:53,-0.00,-3.82,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
